Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-uj56;order-jpm9;Page;Page ID;Page Counter;Question;Response Type;Key;Response;Tag;OptionOrder;Object Name;Object Number;Object ID
2;1688379765025;03/07/2023 10:22:45;1688383365025;1;03/07/2023 12:22:45;121969;7;questionnaire-igew;;30444937;646cb67808474045d3e03de1;9048138;;complete;;0vcxqjihssbl;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1440x900;1440x812;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;23;;;Number Entry;2;object-3
3;1688379765025;03/07/2023 10:22:45;1688383365025;1;03/07/2023 12:22:45;121969;7;questionnaire-igew;;30444937;646cb67808474045d3e03de1;9048138;;complete;;0vcxqjihssbl;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1440x900;1440x812;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;23;;;Text Input;3;object-4
2;1689231972367;13/07/2023 07:06:12;1689235572367;1;13/07/2023 09:06:12;121969;7;questionnaire-igew;;30642650;5adef952f6b58c0001fa755b;9100441;;complete;;64afb00f0db1903dc5881f5a;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1600x900;1564x747;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;58;;;Number Entry;2;object-3
3;1689231972368;13/07/2023 07:06:12;1689235572368;1;13/07/2023 09:06:12;121969;7;questionnaire-igew;;30642650;5adef952f6b58c0001fa755b;9100441;;complete;;64afb00f0db1903dc5881f5a;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1600x900;1564x747;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;male;;;Text Input;3;object-4
2;1689232010369;13/07/2023 07:06:50;1689235610369;1;13/07/2023 09:06:50;121969;7;questionnaire-igew;;30642655;597f27b630b1d90001f5f42b;9100440;;complete;;64afb030ae4685350641bdc0;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1280x720;1280x609;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;45;;;Number Entry;2;object-3
3;1689232010371;13/07/2023 07:06:50;1689235610371;1;13/07/2023 09:06:50;121969;7;questionnaire-igew;;30642655;597f27b630b1d90001f5f42b;9100440;;complete;;64afb030ae4685350641bdc0;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1280x720;1280x609;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
2;1689232021181;13/07/2023 07:07:01;1689235621181;1;13/07/2023 09:07:01;121969;7;questionnaire-igew;;30642662;5e6b747a58ca6e122f8bb63f;9100446;;complete;;64afb07392e387c216b1d4b5;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1280x800;1145x546;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;35;;;Number Entry;2;object-3
3;1689232021181;13/07/2023 07:07:01;1689235621181;1;13/07/2023 09:07:01;121969;7;questionnaire-igew;;30642662;5e6b747a58ca6e122f8bb63f;9100446;;complete;;64afb07392e387c216b1d4b5;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1280x800;1145x546;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
2;1689232351872;13/07/2023 07:12:31;1689235951872;1;13/07/2023 09:12:31;121969;7;questionnaire-igew;;30642693;559b8c79fdf99b5ae13fd3d1;9100463;;complete;;64afb135395474d6f3a3b3d4;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1739x979;1740x838;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;55;;;Number Entry;2;object-3
3;1689232351872;13/07/2023 07:12:31;1689235951872;1;13/07/2023 09:12:31;121969;7;questionnaire-igew;;30642693;559b8c79fdf99b5ae13fd3d1;9100463;;complete;;64afb135395474d6f3a3b3d4;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1739x979;1740x838;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
2;1689232670144;13/07/2023 07:17:50;1689236270144;1;13/07/2023 09:17:50;121969;7;questionnaire-igew;;30642742;5e18c73f5b1c59195a6ed828;9100476;;complete;;64afb2f4314a4d9c6e4151ad;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1440x900;1440x763;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;37;;;Number Entry;2;object-3
3;1689232670144;13/07/2023 07:17:50;1689236270144;1;13/07/2023 09:17:50;121969;7;questionnaire-igew;;30642742;5e18c73f5b1c59195a6ed828;9100476;;complete;;64afb2f4314a4d9c6e4151ad;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 114.0.0.0;1440x900;1440x763;;Demographics;1;BA;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;female;;;Text Input;3;object-4
2;1689672000932;18/07/2023 09:20:00;1689675600932;1;18/07/2023 11:20:00;121969;7;questionnaire-igew;;30709722;5ef7783026861249d8eb58ef;9119980;;complete;;64b667187cdd82cd47bbaa18;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1366x768;1366x625;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;53;;;Number Entry;2;object-3
3;1689672000932;18/07/2023 09:20:00;1689675600932;1;18/07/2023 11:20:00;121969;7;questionnaire-igew;;30709722;5ef7783026861249d8eb58ef;9119980;;complete;;64b667187cdd82cd47bbaa18;computer;Desktop or Laptop;Windows 10;Chrome 114.0.0.0;1366x768;1366x625;;Demographics;1;AB;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Male;;;Text Input;3;object-4
