Event Index;UTC Timestamp;UTC Date and Time;Local Timestamp;Local Timezone;Local Date and Time;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;order-uj56;order-jpm9;Page;Page ID;Page Counter;Question;Response Type;Key;Response;Tag;OptionOrder;Object Name;Object Number;Object ID
1;1678102707148;06/03/2023 11:38:27;1678102707148;0;06/03/2023 11:38:27;121969;4;questionnaire-igew;;27851363;9819;8272893;;complete;;;computer;Desktop or Laptop;Mac OS 10.16;Firefox 78.0;1440x900;1440x798;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;20;;;Number Entry;2;object-3
2;1678102707148;06/03/2023 11:38:27;1678102707148;0;06/03/2023 11:38:27;121969;4;questionnaire-igew;;27851363;9819;8272893;;complete;;;computer;Desktop or Laptop;Mac OS 10.16;Firefox 78.0;1440x900;1440x798;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;female;;;Text Input;3;object-4
1;1678103196983;06/03/2023 11:46:36;1678103196983;0;06/03/2023 11:46:36;121969;4;questionnaire-igew;;27851720;9859;8272773;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.6;Chrome 109.0.0.0;1440x900;728x765;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;20;;;Number Entry;2;object-3
2;1678103196983;06/03/2023 11:46:36;1678103196983;0;06/03/2023 11:46:36;121969;4;questionnaire-igew;;27851720;9859;8272773;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.6;Chrome 109.0.0.0;1440x900;728x765;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
1;1678103451737;06/03/2023 11:50:51;1678103451737;0;06/03/2023 11:50:51;121969;4;questionnaire-igew;;27852106;9924;8273069;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 110.0;1493x933;1400x821;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;20;;;Number Entry;2;object-3
2;1678103451737;06/03/2023 11:50:51;1678103451737;0;06/03/2023 11:50:51;121969;4;questionnaire-igew;;27852106;9924;8273069;;complete;;;computer;Desktop or Laptop;Windows 10;Firefox 110.0;1493x933;1400x821;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
1;1678107260007;06/03/2023 12:54:20;1678107260007;0;06/03/2023 12:54:20;121969;4;questionnaire-igew;;27855487;9652;8273835;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 110.0.0.0;1440x900;1404x685;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your age**;response;value;19;;;Number Entry;2;object-3
2;1678107260007;06/03/2023 12:54:20;1678107260007;0;06/03/2023 12:54:20;121969;4;questionnaire-igew;;27855487;9652;8273835;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Chrome 110.0.0.0;1440x900;1404x685;;Demographics;1;AB;BA;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
1;1678121327661;06/03/2023 16:48:47;1678121327661;0;06/03/2023 16:48:47;121969;4;questionnaire-igew;;27869502;9877;8277439;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1536x864;1536x714;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your age**;response;value;20;;;Number Entry;2;object-3
2;1678121327661;06/03/2023 16:48:47;1678121327661;0;06/03/2023 16:48:47;121969;4;questionnaire-igew;;27869502;9877;8277439;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 110.0.0.0;1536x864;1536x714;;Demographics;1;BA;AB;Page 1;bjst4u;1;**Please tell us your gender**;response;value;Female;;;Text Input;3;object-4
