Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-uj56,order-jpm9,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: perspective_taking,Store: emotion_contagion,Store: online_simulation,Store: peripheral_responsivity,Store: proximal_responsivity,Store: CE,Store: AE
13,1677425989994,26/02/2023 15:39:49,1677425989994,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It affects me very much when one of my friends seems upset.**,response,value,Agree,,,Q10_AE_Proximal_Responsivity,1,object-27,12,6,2,4,5,14,15
14,1677425989994,26/02/2023 15:39:49,1677425989994,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**It affects me very much when one of my friends seems upset.**,response,quantised,3,,,Q10_AE_Proximal_Responsivity,1,object-27,12,6,2,4,5,14,15
15,1677425989995,26/02/2023 15:39:49,1677425989995,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I can pick up quickly if someone says one thing but means another.**,response,value,Agree,,,Q16_CE_Perpective_Taking,7,object-39,12,6,2,4,5,14,15
16,1677425989995,26/02/2023 15:39:49,1677425989995,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I can pick up quickly if someone says one thing but means another.**,response,quantised,3,,,Q16_CE_Perpective_Taking,7,object-39,12,6,2,4,5,14,15
17,1677425989996,26/02/2023 15:39:49,1677425989996,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I can easily tell if someone else wants to enter a conversation.**,response,value,Agree,,,Q15_CE_Perpective_Taking,6,object-37,12,6,2,4,5,14,15
18,1677425989996,26/02/2023 15:39:49,1677425989996,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I can easily tell if someone else wants to enter a conversation.**,response,quantised,3,,,Q15_CE_Perpective_Taking,6,object-37,12,6,2,4,5,14,15
19,1677425989997,26/02/2023 15:39:49,1677425989997,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I find it easy to put myself in somebody else’s shoes.**,response,value,Disagree,,,Q18_CE_Online_Simulation,9,object-43,12,6,2,4,5,14,15
20,1677425989998,26/02/2023 15:39:49,1677425989998,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I find it easy to put myself in somebody else’s shoes.**,response,quantised,2,,,Q18_CE_Online_Simulation,9,object-43,12,6,2,4,5,14,15
21,1677425989998,26/02/2023 15:39:49,1677425989998,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I get very upset when I see someone cry.**,response,value,Disagree,,,Q12_AE_Proximal_Responsivity,3,object-31,12,6,2,4,5,14,15
22,1677425989999,26/02/2023 15:39:49,1677425989999,0,26/02/2023 15:39:49,121969,4,questionnaire-tx5o,,27572131,ccxrdecd,8197473,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,1920x1080,1920x929,,QCAE,6,AB,AB,Page 3,4ai8ku,2,**I get very upset when I see someone cry.**,response,quantised,2,,,Q12_AE_Proximal_Responsivity,3,object-31,12,6,2,4,5,14,15
